Power Usage,Residuallast,Pumpspeicher,Wind Offshore,Wind Onshore,Photovoltaik
44600,35956,602,517,8128,0
43455,34641,346,516,8298,0
41963,32909,522,514,8540,0
40618,31548,1228,518,8552,0
39937,30774,1822,520,8644,0
39273,30041,2458,520,8712,0
37850,28162,2867,522,9167,0
38099,27767,2901,520,9811,0
38793,28531,2640,525,9683,53
41406,30604,1773,527,9502,773
44267,31600,1300,525,10025,2117
47206,32452,708,527,10863,3364
48502,32201,889,528,11575,4198
47528,31522,814,528,11977,3501
46772,32573,544,525,11396,2279
46734,34137,216,525,11327,746
49117,35484,558,525,13058,50
53624,38188,319,525,14912,0
54305,37437,545,524,16344,0
53635,35627,414,524,17485,0
51436,32255,460,522,18659,0
50092,29739,666,521,19832,0
50165,28930,425,520,20716,0
47478,25395,879,494,21589,0
44461,21989,2010,305,22167,0
42671,19236,3153,277,23158,0
41736,17488,1964,282,23966,0
41657,16623,1850,325,24709,0
42469,16748,2320,335,25386,0
43864,17692,3172,388,25784,0
46319,19963,2133,498,25857,0
50579,24387,892,498,25695,0
54583,27956,572,480,26110,38
57713,31527,236,368,25567,253
59731,33423,158,406,25236,667
61312,34239,131,420,25391,1263
61504,34136,163,414,25228,1726
60481,32787,215,431,25363,1899
59254,32605,499,486,24812,1352
58553,33054,650,489,24493,516
59910,35146,998,494,24226,46
62960,38659,468,492,23810,0
63259,38249,505,475,24535,0
61549,36766,507,502,24281,0
57720,33441,448,512,23767,0
55208,30842,1022,476,23890,0
53548,29003,1310,502,24043,0
47878,23252,1851,476,24151,0
44219,20143,2530,509,23567,0
41929,18653,2645,509,22768,0
40540,18422,2093,513,21605,0
40217,19299,1588,512,20406,0
40512,20221,1636,513,19778,0
40922,20414,2125,513,19995,0
42200,20874,2087,513,20814,0
44596,22650,2034,513,21433,0
47849,24795,1695,512,22468,74
51335,27308,577,492,22927,608
53980,29605,470,474,22623,1279
56019,31090,637,502,22728,1700
56022,31576,245,479,22349,1618
55898,33570,73,516,20658,1155
54996,34946,27,513,18951,587
54870,37208,55,489,16979,195
57122,41063,278,475,15563,21
60277,44899,304,488,14890,0
60627,46178,232,513,13936,0
59285,46339,368,514,12432,0
55267,41397,626,514,13357,0
52722,37506,720,514,14702,0
52365,36554,531,515,15296,0
49542,32205,1120,514,16823,0
46426,28562,763,515,17350,0
42269,23532,1838,514,18223,0
40835,21937,2348,512,18387,0
40214,21248,2201,504,18462,0
40329,21230,2326,505,18593,0
39899,21149,1904,504,18246,0
39316,20690,2206,499,18128,0
41820,23825,1783,496,17500,0
44653,26634,1052,499,17462,58
47859,29636,548,492,16757,974
51219,31626,302,498,16324,2771
54500,33444,97,501,16404,4151
54814,33386,495,486,16363,4579
53262,32611,872,471,16187,3993
51519,32979,499,489,15629,2421
51113,35077,119,482,14602,952
53144,38900,38,459,13702,84
57621,43906,4,464,13251,0
58718,44968,70,470,13281,0
57272,43022,577,429,13822,0
54703,40571,900,422,13710,0
53218,40149,1216,406,12664,0
