Price,Wind Offshore,Wind Onshore,Photovoltaik,Power Usage,Residuallast,Pumpspeicher
25.02,517,8128,0,44600,35956,602
18.29,516,8298,0,43455,34641,346
16.04,514,8540,0,41963,32909,522
14.6,518,8552,0,40618,31548,1228
14.95,520,8644,0,39937,30774,1822
14.5,520,8712,0,39273,30041,2458
10.76,522,9167,0,37850,28162,2867
12.01,520,9811,0,38099,27767,2901
12.39,525,9683,53,38793,28531,2640
14.04,527,9502,773,41406,30604,1773
14.68,525,10025,2117,44267,31600,1300
16.08,527,10863,3364,47206,32452,708
16.08,528,11575,4198,48502,32201,889
16.05,528,11977,3501,47528,31522,814
16.04,525,11396,2279,46772,32573,544
16.1,525,11327,746,46734,34137,216
23.93,525,13058,50,49117,35484,558
26.9,525,14912,0,53624,38188,319
26.36,524,16344,0,54305,37437,545
23.98,524,17485,0,53635,35627,414
16.09,522,18659,0,51436,32255,460
14.08,521,19832,0,50092,29739,666
12.44,520,20716,0,50165,28930,425
0.04,494,21589,0,47478,25395,879
-12.11,305,22167,0,44461,21989,2010
-19.63,277,23158,0,42671,19236,3153
-19.37,282,23966,0,41736,17488,1964
-31.41,325,24709,0,41657,16623,1850
-31.41,335,25386,0,42469,16748,2320
-13.48,388,25784,0,43864,17692,3172
0.08,498,25857,0,46319,19963,2133
10.06,498,25695,0,50579,24387,892
14.25,480,26110,38,54583,27956,572
14.56,368,25567,253,57713,31527,236
14.64,406,25236,667,59731,33423,158
15.08,420,25391,1263,61312,34239,131
15.41,414,25228,1726,61504,34136,163
14.52,431,25363,1899,60481,32787,215
14.7,486,24812,1352,59254,32605,499
14.66,489,24493,516,58553,33054,650
16.09,494,24226,46,59910,35146,998
25.1,492,23810,0,62960,38659,468
25.06,475,24535,0,63259,38249,505
18.34,502,24281,0,61549,36766,507
14.26,512,23767,0,57720,33441,448
12.22,476,23890,0,55208,30842,1022
8,502,24043,0,53548,29003,1310
-0.33,476,24151,0,47878,23252,1851
-0.08,509,23567,0,44219,20143,2530
-0.07,509,22768,0,41929,18653,2645
-5.03,513,21605,0,40540,18422,2093
0.01,512,20406,0,40217,19299,1588
-0.04,513,19778,0,40512,20221,1636
0.03,513,19995,0,40922,20414,2125
-8.67,513,20814,0,42200,20874,2087
4.46,513,21433,0,44596,22650,2034
9.9,512,22468,74,47849,24795,1695
14.29,492,22927,608,51335,27308,577
16.73,474,22623,1279,53980,29605,470
22.31,502,22728,1700,56019,31090,637
23.03,479,22349,1618,56022,31576,245
22.4,516,20658,1155,55898,33570,73
27.07,513,18951,587,54996,34946,27
28.29,489,16979,195,54870,37208,55
28.6,475,15563,21,57122,41063,278
28.88,488,14890,0,60277,44899,304
28.78,513,13936,0,60627,46178,232
28.54,514,12432,0,59285,46339,368
28.34,514,13357,0,55267,41397,626
27.26,514,14702,0,52722,37506,720
27.7,515,15296,0,52365,36554,531
14.27,514,16823,0,49542,32205,1120
9.32,515,17350,0,46426,28562,763
0.1,514,18223,0,42269,23532,1838
0.1,512,18387,0,40835,21937,2348
0.1,504,18462,0,40214,21248,2201
0.11,505,18593,0,40329,21230,2326
6.8,504,18246,0,39899,21149,1904
14.95,499,18128,0,39316,20690,2206
25.49,496,17500,0,41820,23825,1783
26.28,499,17462,58,44653,26634,1052
27.32,492,16757,974,47859,29636,548
27.56,498,16324,2771,51219,31626,302
27.32,501,16404,4151,54500,33444,97
27.08,486,16363,4579,54814,33386,495
26.33,471,16187,3993,53262,32611,872
27.42,489,15629,2421,51519,32979,499
28.37,482,14602,952,51113,35077,119
28.65,459,13702,84,53144,38900,38
28.94,464,13251,0,57621,43906,4
29.59,470,13281,0,58718,44968,70
29.42,429,13822,0,57272,43022,577
28.92,422,13710,0,54703,40571,900
28.66,406,12664,0,53218,40149,1216
29.03,466,11993,0,53130,40672,750
27.68,461,11993,0,50046,37593,1539
28.19,474,11847,0,46668,34347,2429
28.15,465,11815,0,44627,32348,2823
28.13,462,12199,0,43636,30975,3630
28.05,450,12313,0,43683,30920,3438
28.04,454,13094,0,44969,31422,3785
27.01,458,14395,0,48337,33484,2594
27.6,430,14979,0,54207,38798,1455
33.62,396,14917,0,60387,45073,736
38.15,336,14854,93,63924,48642,502
41.51,323,14288,1058,65157,49489,532
40.46,332,13310,2986,66469,49841,644
40.97,357,11954,4770,67602,50523,687
40.72,411,10707,5870,67636,50648,434
41.92,387,9408,5667,66802,51341,451
42,320,7548,4095,65686,53723,335
43.1,274,5931,1788,64962,56970,61
46.7,196,4881,198,66093,60818,59
56.78,155,4353,0,69742,65235,12
58.84,157,4079,0,69720,65484,3
49.23,217,3707,0,67962,64038,110
44.32,172,3014,0,63637,60451,167
35.86,157,2480,0,60590,57953,278
32.56,174,1934,0,58824,56716,202
30.03,192,1618,0,54608,52798,371
30.02,180,1312,0,51225,49734,1751
29.81,160,1011,0,48869,47697,2061
29.41,144,763,0,47870,46963,3184
27.89,137,703,0,47882,47042,2659
27.89,152,764,0,48622,47706,2763
28.01,175,928,0,50384,49281,2042
29.67,199,1234,0,54533,53100,530
30.03,233,1560,0,59775,57982,50
30.5,236,1946,183,62364,60000,252
30.35,231,2391,2055,63721,59044,352
30.53,261,2804,4694,65305,57547,107
29.91,287,3150,6658,66569,56473,344
29.62,291,3119,7273,66470,55788,437
29.58,282,3492,6351,65355,55231,454
29.57,290,4059,3958,63665,55358,238
29.62,324,4866,1554,63218,56475,236
29.99,372,6302,163,64719,57882,516
29.65,403,7718,0,68943,60822,293
29.58,394,8983,0,68904,59528,684
29,388,9187,0,67558,57984,379
28.45,424,9291,0,64012,54298,305
28.15,403,8861,0,61251,51988,536
28.08,451,9215,0,58824,49158,946
26.97,475,9050,0,54839,45314,1176
26.35,483,8644,0,51272,42145,1523
26.08,462,8052,0,49121,40607,2227
26.03,391,7797,0,48432,40244,1952
26.17,389,8322,0,48544,39833,2084
26.1,389,8365,0,49565,40812,2541
26.84,328,8124,0,53034,44582,1600
30.07,274,8184,0,60786,52328,393
33.17,254,7812,0,67805,59740,74
34.1,286,7440,51,70910,63134,16
33.28,350,6949,609,71157,63250,16
34.08,395,6719,1813,72276,63350,37
33.63,477,6752,3060,73372,63083,101
32.76,504,6956,3777,73048,61811,272
30.65,488,7288,3715,72258,60768,91
30.31,495,6834,2800,71100,60971,222
29.79,509,6587,1157,70205,61953,66
30.72,517,7029,134,70845,63165,12
29.56,525,8174,0,74557,65859,103
28.84,514,9694,0,74243,64035,86
28.2,525,10857,0,72368,60987,78
27.75,535,12268,0,68217,55414,78
27.42,535,13474,0,64957,50948,251
26.7,535,14026,0,62767,48207,359
22.11,535,14255,0,58060,43270,784
21.92,535,14502,0,54345,39308,977
19.35,534,15273,0,51968,36161,2011
16.11,534,15915,0,50900,34451,2675
14.93,531,16164,0,51068,34373,3258
15,529,16259,0,52170,35383,3086
19.04,532,16219,0,55033,38282,2448
26.17,533,16963,0,62762,45266,1852
29.41,534,17542,0,69849,51773,247
28.1,536,17503,57,72622,54526,121
28.23,527,17650,446,72598,53975,122
28.35,529,17566,1083,73542,54365,37
28.46,524,17400,1738,74739,55076,6
28.46,475,16774,2062,74060,54750,104
28.6,451,16150,1702,73265,54962,17
28.45,433,16086,1039,72203,54645,13
28.24,425,15457,414,71708,55412,228
28.43,482,16225,58,72124,55359,88
28.4,527,16448,0,74259,57284,6
27.98,528,17674,0,73550,55349,400
27.69,526,19310,0,71652,51816,167
27.46,527,20809,0,67289,45953,588
27.31,529,22042,0,63731,41160,637
26.71,529,22218,0,61268,38521,685
15.93,527,22384,0,56747,33837,1084
11.55,521,21968,0,52418,29930,2001
13.47,529,21679,0,50402,28194,2251
11.23,533,22051,0,49398,26815,2785
16,533,23158,0,49548,25857,3497
16.26,525,24532,0,51088,26032,3190
19.94,403,26011,0,54445,28031,1713
24.36,254,27146,0,62498,35097,623
29.24,192,27911,0,69598,41495,35
27.45,174,28756,55,73224,44240,44
27.38,159,29546,421,73594,43469,6
